commodity,unit,date,price
Vanaspati (Packed),1 Kg,2025-08-08,156.89
Soya Oil (Packed),1 Kg,2025-08-08,147.04
Sunflower Oil (Packed),1 Kg,2025-08-08,160.96
Palm Oil (Packed),1 Kg,2025-08-08,130.63
Gur,1 Kg,2025-08-08,56.48
Tea Loose,1 Kg,2025-08-08,272.02
Salt Pack (Iodised),1 Kg,2025-08-08,21.29
Potato,1 Kg,2025-08-08,25.68
Onion,1 Kg,2025-08-08,28.29
Tomato,1 Kg,2025-08-08,52.27
Bajra (whole),1 Kg,2025-08-08,37.74
Jowar (whole),1 Kg,2025-08-08,43.2
Maida (wheat),1 Kg,2025-08-08,41.43
Ragi (whole),1 kg,2025-08-08,53.61
Suji (whole),1 Kg,2025-08-08,46.85
Besan,1 Kg,2025-08-08,96.91
Desi Ghee,1 Kg,2025-08-08,663.37
Butter (Pasteurised),100 gm,2025-08-08,59.12
Eggs ,1 Dozen,2025-08-08,76.92
Brinjal,1 Kg,2025-08-08,42.88
Black Pepper (whole),100 gm,2025-08-08,87.24
Coriander (whole),250 gm,2025-08-08,37.16
Cummin Seed (whole),100 gm,2025-08-08,42.34
Red Chillies (whole),100 gm,2025-08-08,28.05
Turmeric (powder),50 gm,2025-08-08,16.27
Banana,1 Kg,2025-08-08,50.05
Rice,1 Kg,2025-08-06,42.94
Wheat,1 Kg,2025-08-06,31.56
Atta (Wheat),1 Kg,2025-08-06,36.89
Gram Dal(Bharat Dal Adjusted),1 Kg,2025-08-06,83.19
Gram Dal,1 Kg,2025-08-06,87.28
Tur/Arhar Dal,1 Kg,2025-08-06,118.87
Urad Dal,1 Kg,2025-08-06,114.54
Moong Dal,1 Kg,2025-08-06,110.53
Masoor Dal,1 Kg,2025-08-06,89.09
Sugar,1 Kg,2025-08-06,46.15
Milk (₹/ltr),1 Ltr,2025-08-06,59.1
Groundnut Oil (Packed),1 Kg,2025-08-06,189.14
Mustard Oil (Packed),1 Kg,2025-08-06,186.08
Vanaspati (Packed),1 Kg,2025-08-06,156.42
Soya Oil (Packed),1 Kg,2025-08-06,147.1
Sunflower Oil (Packed),1 Kg,2025-08-06,161.1
Palm Oil (Packed),1 Kg,2025-08-06,130.38
Gur,1 Kg,2025-08-06,56.33
Tea Loose,1 Kg,2025-08-06,273.02
Salt Pack (Iodised),1 Kg,2025-08-06,21.39
Potato,1 Kg,2025-08-06,25.75
Onion,1 Kg,2025-08-06,28.24
Tomato,1 Kg,2025-08-06,50.88
Bajra (whole),1 Kg,2025-08-06,37.82
Jowar (whole),1 Kg,2025-08-06,43.29
Maida (wheat),1 Kg,2025-08-06,41.52
Ragi (whole),1 kg,2025-08-06,53.47
Suji (whole),1 Kg,2025-08-06,46.77
Besan,1 Kg,2025-08-06,96.79
Desi Ghee,1 Kg,2025-08-06,664.6
